participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial2,Pasivo,1,9,0,0,0.004879,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,2,6,0,0,1.811997,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,3,2,0,0,3.623652,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,4,5,0,0,5.434843,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,5,7,0,0,7.246243,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,6,9,0,0,9.060443,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,7,3,0,0,10.872496,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,8,5,0,0,12.684795,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,9,1,0,0,14.494842,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,10,9,0,0,16.304352,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,11,1,0,0,18.117085,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,12,1,0,0,19.926066,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,13,5,0,0,21.738781,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,14,5,0,0,23.553427,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,15,5,0,0,25.364469,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,16,6,0,0,27.172684,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,17,7,0,0,28.982519,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,18,8,0,0,30.793138,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,19,1,0,0,32.60601,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,20,6,0,0,34.417596,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,21,1,0,0,36.226464,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,22,2,0,0,38.039529,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,23,2,0,0,39.851542,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,24,7,0,0,41.66097,0,,0,NOT_EVALUATED
