participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial2,0-back,1,9,0,1,0.005165,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,2,3,0,1,1.814166,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,3,2,0,1,3.617554,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,4,4,0,1,5.42312,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,5,8,1,1,7.231237,1,687.61,0,HIT
grupo0_trial2,0-back,6,8,1,1,9.03763,1,609.31,0,HIT
grupo0_trial2,0-back,7,7,0,1,10.847749,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,8,2,0,1,12.656001,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,9,6,0,1,14.464902,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,10,4,0,1,16.264623,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,11,8,1,1,18.073481,1,541.32,0,HIT
grupo0_trial2,0-back,12,1,0,1,19.88315,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,13,3,0,1,21.688351,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,14,5,0,1,23.499048,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,15,3,0,1,25.312057,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,16,9,0,1,27.123511,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,17,6,0,1,28.93478,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,18,8,1,1,30.744036,1,606.93,0,HIT
grupo0_trial2,0-back,19,4,0,1,32.556506,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,20,8,1,1,34.364266,1,562.54,0,HIT
grupo0_trial2,0-back,21,2,0,1,36.171643,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,22,8,1,1,37.978256,1,660.53,0,HIT
grupo0_trial2,0-back,23,9,0,1,39.782318,0,,0,CORRECT_REJECTION
grupo0_trial2,0-back,24,5,0,1,41.588485,0,,0,CORRECT_REJECTION
